recombinations,sequencing errors,recurrent mutations,run seed,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
4,2,0,3630613604.000000,1.1,1.11,1,2,30,1000,2147483647
5,1,0,3630613604.000000,1.1,1.11,1,2,30,1000,2147483647
5,1,0,1849191203.000000,1,1.01,1,2,30,1000,2147483647
3,3,0,1846012995.000000,0.8,0.81,1,2,30,1000,2147483647
3,3,0,1846012995.000000,0.8,0.81,1,2,30,1000,2147483647
4,1,1,1846012995.000000,0.8,0.81,1,2,30,1000,2147483647
3,3,0,1846012995.000000,0.8,0.81,1,2,30,1000,2147483647
3,3,0,3185148660.000000,0.7,0.71,1,2,30,1000,2147483647
2,4,1,3185148660.000000,0.7,0.71,1,2,30,1000,2147483647
2,5,0,3185148660.000000,0.7,0.71,1,2,30,1000,2147483647
3,3,0,3185148660.000000,0.7,0.71,1,2,30,1000,2147483647
3,3,0,3196060887.000000,0.6,0.61,1,2,30,1000,2147483647
3,3,0,3196060887.000000,0.6,0.61,1,2,30,1000,2147483647
2,5,0,1717593480.000000,0.4,0.41,1,2,30,1000,2147483647
2,5,0,1717593480.000000,0.4,0.41,1,2,30,1000,2147483647
2,5,0,1717593480.000000,0.4,0.41,1,2,30,1000,2147483647
2,5,0,1717593480.000000,0.4,0.41,1,2,30,1000,2147483647
2,4,1,1717593480.000000,0.4,0.41,1,2,30,1000,2147483647
2,5,0,3641515240.000000,0.3,0.31,1,2,30,1000,2147483647
2,4,1,3641515240.000000,0.3,0.31,1,2,30,1000,2147483647
2,5,0,3641515240.000000,0.3,0.31,1,2,30,1000,2147483647
2,5,0,2319845478.000000,0.2,0.21,1,2,30,1000,2147483647
2,5,0,2319845478.000000,0.2,0.21,1,2,30,1000,2147483647
1,5,3,2001357023.000000,0.1,0.11,1,2,30,1000,2147483647
2,5,0,2001357023.000000,0.1,0.11,1,2,30,1000,2147483647
2,5,0,2001357023.000000,0.1,0.11,1,2,30,1000,2147483647
2,5,0,3288242061.000000,0.01,0.02,1,2,30,1000,2147483647
2,5,0,3288242061.000000,0.01,0.02,1,2,30,1000,2147483647
1,5,3,3288242061.000000,0.01,0.02,1,2,30,1000,2147483647
2,5,0,3288242061.000000,0.01,0.02,1,2,30,1000,2147483647
1,7,1,3288242061.000000,0.01,0.02,1,2,30,1000,2147483647
