recombinations,back mutations,recurrent mutations,run seed,recombination cost,recurrent mutation cost,back mutation cost
5,2,4,821459744,0.5,1,1
5,4,6,979655734,0.5,1,1
7,2,3,39021707,0.5,1,1
11,1,1,80524421,0.5,1,1
4,1,5,688020399,0.5,1,1
6,0,9,555013701,0.5,1,1
5,3,5,445975878,0.5,1,1
6,0,7,1019038148,0.5,1,1
10,4,2,1991948354,0.5,1,1
2,2,6,973,0.5,1,1
3,1,4,821459744,0.5,1,1
5,4,5,979655734,0.5,1,1
7,2,3,39021707,0.5,1,1
11,1,1,80524421,0.5,1,1
4,1,5,688020399,0.5,1,1
5,1,6,555013701,0.5,1,1
6,1,3,445975878,0.5,1,1
6,0,7,1019038148,0.5,1,1
10,4,2,1991948354,0.5,1,1
2,4,7,973,0.5,1,1
5,0,6,821459744,0.5,1,1
6,6,5,979655734,0.5,1,1
4,4,4,39021707,0.5,1,1
10,6,0,80524421,0.5,1,1
8,0,6,688020399,0.5,1,1
9,1,5,555013701,0.5,1,1
7,1,7,445975878,0.5,1,1
9,2,6,1019038148,0.5,1,1
10,6,2,1991948354,0.5,1,1
2,5,5,973,0.5,1,1
5,0,6,821459744,0.5,1,1
6,6,4,979655734,0.5,1,1
7,2,3,39021707,0.5,1,1
10,4,3,80524421,0.5,1,1
7,0,7,688020399,0.5,1,1
8,1,7,555013701,0.5,1,1
7,1,7,445975878,0.5,1,1
9,3,6,1019038148,0.5,1,1
10,6,2,1991948354,0.5,1,1
2,6,5,973,0.5,1,1
5,1,5,821459744,0.5,1,1
6,6,5,979655734,0.5,1,1
7,2,3,39021707,0.5,1,1
10,6,0,80524421,0.5,1,1
7,0,7,688020399,0.5,1,1
8,1,7,555013701,0.5,1,1
7,1,7,445975878,0.5,1,1
9,4,6,1019038148,0.5,1,1
10,6,2,1991948354,0.5,1,1
2,1,7,973,0.5,1,1
9,2,3,821459744,0.5,1,1
5,5,3,979655734,0.5,1,1
6,1,4,39021707,0.5,1,1
10,3,2,80524421,0.5,1,1
3,0,7,688020399,0.5,1,1
7,2,5,555013701,0.5,1,1
5,4,3,445975878,0.5,1,1
6,2,5,1019038148,0.5,1,1
7,4,4,1991948354,0.5,1,1
5,1,7,973,0.5,1,1
7,5,8,821459744,0.5,1,1
6,5,5,979655734,0.5,1,1
7,3,3,39021707,0.5,1,1
10,3,3,80524421,0.5,1,1
4,2,5,688020399,0.5,1,1
6,1,8,555013701,0.5,1,1
2,1,11,445975878,0.5,1,1
8,3,5,1019038148,0.5,1,1
8,6,2,1991948354,0.5,1,1
5,3,5,973,0.5,1,1
5,3,7,821459744,0.5,1,1
7,2,6,979655734,0.5,1,1
8,2,2,39021707,0.5,1,1
8,0,6,80524421,0.5,1,1
2,4,6,688020399,0.5,1,1
7,1,6,555013701,0.5,1,1
7,1,5,445975878,0.5,1,1
5,4,5,1019038148,0.5,1,1
10,2,6,1991948354,0.5,1,1
5,4,3,973,0.5,1,1
7,1,6,821459744,0.5,1,1
7,1,6,979655734,0.5,1,1
8,2,2,39021707,0.5,1,1
8,0,6,80524421,0.5,1,1
2,3,7,688020399,0.5,1,1
8,1,5,555013701,0.5,1,1
7,2,6,445975878,0.5,1,1
5,2,5,1019038148,0.5,1,1
10,1,6,1991948354,0.5,1,1
4,2,7,973,0.5,1,1
5,1,6,821459744,0.5,1,1
7,3,4,979655734,0.5,1,1
8,2,1,39021707,0.5,1,1
10,3,1,80524421,0.5,1,1
2,4,6,688020399,0.5,1,1
10,1,6,555013701,0.5,1,1
7,1,7,445975878,0.5,1,1
8,3,5,1019038148,0.5,1,1
9,5,2,1991948354,0.5,1,1
2,4,5,973,0.5,1,1
7,3,5,821459744,0.5,1,1
6,6,5,979655734,0.5,1,1
6,5,3,39021707,0.5,1,1
12,3,1,80524421,0.5,1,1
2,3,7,688020399,0.5,1,1
9,1,6,555013701,0.5,1,1
7,3,5,445975878,0.5,1,1
5,4,6,1019038148,0.5,1,1
10,6,2,1991948354,0.5,1,1
1,7,4,973,0.5,1,1
9,2,6,821459744,0.5,1,1
6,2,8,979655734,0.5,1,1
7,2,3,39021707,0.5,1,1
9,1,5,80524421,0.5,1,1
3,2,6,688020399,0.5,1,1
6,1,7,555013701,0.5,1,1
5,2,7,445975878,0.5,1,1
4,2,7,1019038148,0.5,1,1
8,7,3,1991948354,0.5,1,1
4,2,8,973,0.5,1,1
6,1,4,821459744,0.5,1,1
7,1,7,979655734,0.5,1,1
7,3,3,39021707,0.5,1,1
5,6,4,80524421,0.5,1,1
6,1,5,688020399,0.5,1,1
8,1,6,555013701,0.5,1,1
5,2,7,445975878,0.5,1,1
7,1,5,1019038148,0.5,1,1
10,2,4,1991948354,0.5,1,1
5,5,6,973,0.5,1,1
8,3,5,821459744,0.5,1,1
6,5,5,979655734,0.5,1,1
6,4,4,39021707,0.5,1,1
11,1,4,80524421,0.5,1,1
9,3,4,688020399,0.5,1,1
7,1,7,555013701,0.5,1,1
5,5,4,445975878,0.5,1,1
10,3,5,1019038148,0.5,1,1
12,0,4,1991948354,0.5,1,1
7,3,4,973,0.5,1,1
8,6,7,821459744,0.5,1,1
6,5,5,979655734,0.5,1,1
6,3,5,39021707,0.5,1,1
11,1,4,80524421,0.5,1,1
10,1,2,688020399,0.5,1,1
8,1,5,555013701,0.5,1,1
5,3,6,445975878,0.5,1,1
8,0,5,1019038148,0.5,1,1
12,0,4,1991948354,0.5,1,1
5,3,3,973,0.5,1,1
8,0,5,821459744,0.5,1,1
9,2,6,979655734,0.5,1,1
7,2,5,39021707,0.5,1,1
10,3,3,80524421,0.5,1,1
6,1,4,688020399,0.5,1,1
10,0,6,555013701,0.5,1,1
4,2,9,445975878,0.5,1,1
8,1,5,1019038148,0.5,1,1
11,1,4,1991948354,0.5,1,1
5,3,3,973,0.5,1,1
5,11,6,821459744,0.5,1,1
8,2,6,979655734,0.5,1,1
7,3,3,39021707,0.5,1,1
10,3,3,80524421,0.5,1,1
7,2,3,688020399,0.5,1,1
9,0,8,555013701,0.5,1,1
4,8,9,445975878,0.5,1,1
8,1,5,1019038148,0.5,1,1
11,1,4,1991948354,0.5,1,1
2,4,5,973,0.5,1,1
8,1,8,821459744,0.5,1,1
7,3,7,979655734,0.5,1,1
4,3,4,39021707,0.5,1,1
